Date,Open,High,Low,Close,Volume,"Daily Change %"
08-Jul-2022,1031,1034.7,1014.55,1026.5,2841036,-0.44
07-Jul-2022,1020.95,1026.9,1016,1020.75,1901699,-0.02
06-Jul-2022,1008,1014.9,1001.6,1009.9,2188175,0.19
05-Jul-2022,1005,1021.9,999,1003.2,3045188,-0.18
04-Jul-2022,1010.7,1013.8,995,999.95,1814322,-1.06
01-Jul-2022,997,1014,989.3,1010.7,1842102,1.37
30-Jun-2022,1016,1026,997,1000,3264301,-1.57
29-Jun-2022,1008,1027.4,1002.55,1021.1,3770663,1.30
28-Jun-2022,1002,1029,984.05,1020.7,2755698,1.87
27-Jun-2022,996,1024.1,996,1007.2,3796002,1.12
24-Jun-2022,1001,1001,974,981.2,4056588,-1.98
23-Jun-2022,981.1,998.55,971.25,991.1,2915172,1.02
22-Jun-2022,996.95,996.95,968,980,2719988,-1.70
21-Jun-2022,991.4,1004.65,980,1000.1,3433536,0.88
20-Jun-2022,965,988.15,948.05,979.35,2985094,1.49
17-Jun-2022,971.1,974.35,943.7,965.05,7043370,-0.62
16-Jun-2022,1024.05,1033.6,971,975.3,5600443,-4.76
15-Jun-2022,1037,1037,1017.8,1020.05,3238141,-1.63
14-Jun-2022,1034,1056.55,1020.4,1030.15,5775453,-0.37
13-Jun-2022,1081.2,1084.6,1050,1051.95,2012004,-2.71
10-Jun-2022,1119,1123.9,1100.25,1109.85,3119792,-0.82
09-Jun-2022,1122,1141.95,1111.65,1138.6,1323539,1.48
08-Jun-2022,1134.9,1139.3,1119.9,1124.2,1303551,-0.94
07-Jun-2022,1130.1,1139.8,1120.7,1130.3,1656444,0.02
06-Jun-2022,1146,1149,1111.1,1144.2,3938875,-0.16
03-Jun-2022,1160,1182,1144.1,1147.9,3229236,-1.04
03-Jun-2022,1140,1155.4,1131.7,1146,3206663,0.53
01-Jun-2022,1186.15,1197,1143.1,1146.6,2419021,-3.33
01-Jun-2022,1152,1192,1148.65,1180.25,9674664,2.45
30-May-2022,1142.9,1170.5,1135.45,1164,2469771,1.85
30-May-2022,1095,1126.2,1092,1123.25,3367600,2.58
27-May-2022,1070,1089.5,1055.95,1078.6,2946857,0.80
25-May-2022,1091.05,1094.9,1045,1060.15,4711542,-2.83
24-May-2022,1148,1151.85,1091,1098.35,3666196,-4.32
24-May-2022,1134,1147.8,1115.65,1142.9,2783695,0.78
20-May-2022,1128,1134.8,1114.75,1130.9,2461651,0.26
20-May-2022,1153,1153.9,1100,1108.35,4393100,-3.87
18-May-2022,1209,1230.5,1168.5,1172.05,5294021,-3.06
